id,file_name,file_url,is_cover,product_variant,supabase_path,upload_status,uploaded_at,file_size,upload_error,checksum
72,101950-001__B_1__293781c2f2c445d6b9be3594895499d9.png,/images/products/101950-001__B_1__293781c2f2c445d6b9be3594895499d9.png,false,15,,local,,385184,,0789a614764863ac2116cfc68a60371c
73,101950-001__B_2__2bcff2d147b343989702a4abf92ad32b.png,/images/products/101950-001__B_2__2bcff2d147b343989702a4abf92ad32b.png,false,15,,local,,716282,,29079d3c87ea9f693b4934b465d7e388
74,101950-001__D_100__64e085fe8bde4abbbd3c536e90da2bb3.png,/images/products/101950-001__D_100__64e085fe8bde4abbbd3c536e90da2bb3.png,false,15,,local,,387839,,56fdcd4c05edb4a4d01cef9ae7fad02f
75,101950-001__P_500__b041e08568a44a6badc16da6e864c7a0.png,/images/products/101950-001__P_500__b041e08568a44a6badc16da6e864c7a0.png,false,15,,local,,519802,,d023eb924792aa9f63e7fcbb5cb5da75
76,101950-001__P_501__86179d0539834114baf94089cc02be0e.png,/images/products/101950-001__P_501__86179d0539834114baf94089cc02be0e.png,false,15,,local,,435994,,0c49750fef09a34b88dcff9cfb2a6fa1
77,101950-001__S_0__c31c55a47b34407fa2232f9e719f0bcc.png,/images/products/101950-001__S_0__c31c55a47b34407fa2232f9e719f0bcc.png,true,15,,local,,298818,,1364649b23a1e7763e9e24ab48876922
78,101950-119__B_1__3a40950324e2497daad7c0e53dc6644c.png,/images/products/101950-119__B_1__3a40950324e2497daad7c0e53dc6644c.png,false,16,,local,,265685,,aab4aa4a6818442e58351639f8677135
79,101950-119__B_2__11222f784b0c47e6b561e9ac4373a5a4.png,/images/products/101950-119__B_2__11222f784b0c47e6b561e9ac4373a5a4.png,false,16,,local,,513275,,342637afbd9ce5d029a841ef18c3e994
80,101950-119__D_100__b62a0fc3307f46a789089d9a29670069.png,/images/products/101950-119__D_100__b62a0fc3307f46a789089d9a29670069.png,false,16,,local,,271469,,e9d954a88332458e3cbf2f6819eb8290
81,101950-119__P_500__6b761dcd051e445ba0d37e3e6dda629d.png,/images/products/101950-119__P_500__6b761dcd051e445ba0d37e3e6dda629d.png,false,16,,local,,477317,,9a0bb87ef9af61d8fc8daf6f22779785
82,101950-119__P_501__3a2c04ce0505450dad1317147ad59a8f.png,/images/products/101950-119__P_501__3a2c04ce0505450dad1317147ad59a8f.png,false,16,,local,,436593,,231f2d4e57ab638d081f19fca0d2dd37
83,101950-119__S_0__ee3524da42af47fb9669551c53c8174c.png,/images/products/101950-119__S_0__ee3524da42af47fb9669551c53c8174c.png,true,16,,local,,209102,,a47428957449287bca4379d18f932432
84,101952-001__B_1__d59a1a7ac3a74edbb8de9caa4541672f.png,/images/products/101952-001__B_1__d59a1a7ac3a74edbb8de9caa4541672f.png,false,17,,local,,251257,,d8852d32c3953b81526851ff1897da21
85,101952-001__B_2__43093727daea47238a7131266ba19d9c.png,/images/products/101952-001__B_2__43093727daea47238a7131266ba19d9c.png,false,17,,local,,341821,,630d82351709b55b5307d749f11dd5fc
86,101952-001__B_3__0a7488e9ffd24dda9bb0def5909abc1b.png,/images/products/101952-001__B_3__0a7488e9ffd24dda9bb0def5909abc1b.png,false,17,,local,,307496,,b3c0172720ae75b14af88e19355d3886
87,101952-001__D_100__329b83e8996c4a45939f917cc2b511d8.png,/images/products/101952-001__D_100__329b83e8996c4a45939f917cc2b511d8.png,false,17,,local,,257271,,2f9e8364f8a2980d93ce34805f41de43
88,101952-001__P_500__976dec8a43d64c57a770918d56ae3196.png,/images/products/101952-001__P_500__976dec8a43d64c57a770918d56ae3196.png,false,17,,local,,473144,,7bdcebdbc3e475be61d542b956006822
89,101952-001__P_501__3c7080177336498b92a11ea384aa4cd9.png,/images/products/101952-001__P_501__3c7080177336498b92a11ea384aa4cd9.png,false,17,,local,,385318,,3947fc8b650bbcb6eb68c69295c10fdd
90,101952-001__S_0__70fca18593a8445d81d4157606a418ee.png,/images/products/101952-001__S_0__70fca18593a8445d81d4157606a418ee.png,true,17,,local,,181857,,1459876163a68157df2175979c57667c
91,101952-119__B_1__afd8d0de115c46a69cca181a43c4bb53.png,/images/products/101952-119__B_1__afd8d0de115c46a69cca181a43c4bb53.png,false,18,,local,,171347,,cbda2885feac3df0cd3b514c2defcaf0
92,101952-119__B_2__2e9d454007cd4dc590d5d76d18b53b0c.png,/images/products/101952-119__B_2__2e9d454007cd4dc590d5d76d18b53b0c.png,false,18,,local,,247808,,9e32f4a6986257c9071f5a762b2e722f
93,101952-119__B_3__5fd0561acfb042b7af91c4d808f7786b.png,/images/products/101952-119__B_3__5fd0561acfb042b7af91c4d808f7786b.png,false,18,,local,,285242,,1469bbc4cc04977c9eda776fd7bb2905
94,101952-119__D_100__3d1c281b5c0e4a32a5f23cf5820625f3.png,/images/products/101952-119__D_100__3d1c281b5c0e4a32a5f23cf5820625f3.png,false,18,,local,,179415,,f3bf45dfed6baad3da1737076b9826ed
95,101952-119__P_500__ee48096fe1364237a973dad962c13514.png,/images/products/101952-119__P_500__ee48096fe1364237a973dad962c13514.png,false,18,,local,,480300,,8d1a17cae40caa23385ec6074ef9db86
96,101952-119__P_501__77d2c412ea484945807a03c7de8ff3e7.png,/images/products/101952-119__P_501__77d2c412ea484945807a03c7de8ff3e7.png,false,18,,local,,385201,,4c3a34fa15d3ddf89600583e42f8fdfe
97,101952-119__S_0__c2c1d931f03b48e5981a1b59df62b69b.png,/images/products/101952-119__S_0__c2c1d931f03b48e5981a1b59df62b69b.png,true,18,,local,,124401,,73591cb2bf88d83c97c843bc36824d98
98,102001__B_1__087a6be7628d40e9a6ad486630493cbd.png,/images/products/102001__B_1__087a6be7628d40e9a6ad486630493cbd.png,false,19,,local,,161525,,51fab1783b849acc592c37380fa1c3b4
99,102001__B_2__91c7a1182fff4b99b3b2ebb818c300b5.png,/images/products/102001__B_2__91c7a1182fff4b99b3b2ebb818c300b5.png,false,19,,local,,480885,,4b6252ce943986b9eaf90c21d19a1962
100,102001__D_100__b64789700e874f36a994215cfeb55987.png,/images/products/102001__D_100__b64789700e874f36a994215cfeb55987.png,false,19,,local,,193590,,b028fc4515f8059e53dc6bd6e5a85c2c
101,102001__S_0__e9a05b85663444d48b89f3381f881d21.png,/images/products/102001__S_0__e9a05b85663444d48b89f3381f881d21.png,true,19,,local,,130083,,41c972b8be8320a922e8d1f7c72d76d7
102,102002__B_1__f36070999abf4d768c5456daeec20fd9.png,/images/products/102002__B_1__f36070999abf4d768c5456daeec20fd9.png,false,20,,local,,146222,,bee6d4b1d2f75f6e9d32db0495d1e3fb
103,102002__B_2__920c78ffc80645a2a25507ab3a5e1efe.png,/images/products/102002__B_2__920c78ffc80645a2a25507ab3a5e1efe.png,false,20,,local,,195442,,585cb899912142d326a3c8a951235f20
104,102002__D_100__aebba1875df745c4954a6173cd5eb006.png,/images/products/102002__D_100__aebba1875df745c4954a6173cd5eb006.png,false,20,,local,,161784,,74bf92a8ee1f80de093a9201397d4cad
105,102002__S_0__f440d0136efe435eba0b25f2211856e0.png,/images/products/102002__S_0__f440d0136efe435eba0b25f2211856e0.png,true,20,,local,,102135,,b27e07f8259c4686aebdac1f0c5d3d4c
106,102004__B_1__6c788548585a4464a0716cdc32fd9e5c.png,/images/products/102004__B_1__6c788548585a4464a0716cdc32fd9e5c.png,false,21,,local,,185235,,e706b295fdf6ec548a894f1b5f34eed1
107,102004__B_2__c9ab98a242b24ee8a61481687291a737.png,/images/products/102004__B_2__c9ab98a242b24ee8a61481687291a737.png,false,21,,local,,489644,,d7f3763276282b1b10e0a5f11ed7adb5
108,102004__D_100__1d906ed82f074dd5b4b248935a3495a5.png,/images/products/102004__D_100__1d906ed82f074dd5b4b248935a3495a5.png,false,21,,local,,228606,,c20e4455199368169a9266491d742fae
109,102004__S_0__5fd7ff06d85241a3a7fc878231dbaa7a.png,/images/products/102004__S_0__5fd7ff06d85241a3a7fc878231dbaa7a.png,true,21,,local,,148310,,8f261619e0dc7d7e6682d072bc3a4585
110,102005__B_1__b53b5cd5ab1c4380a210b8d3d936216e.png,/images/products/102005__B_1__b53b5cd5ab1c4380a210b8d3d936216e.png,false,22,,local,,179931,,89624a514d406eb2df6ac641be65b09a
111,102005__B_2__313ab8d52fd34783b763859115b4bcd5.png,/images/products/102005__B_2__313ab8d52fd34783b763859115b4bcd5.png,false,22,,local,,577372,,ed0ec5692ab6606f37edd9ac4cff2687
112,102005__D_100__cd175353186140368434c2ed6eacfd03.png,/images/products/102005__D_100__cd175353186140368434c2ed6eacfd03.png,false,22,,local,,222852,,c81846fa326ba570ebf18b1dac2cdb99
113,102005__S_0__7c05669620ce41f5b5e960c5ad520453.png,/images/products/102005__S_0__7c05669620ce41f5b5e960c5ad520453.png,true,22,,local,,149527,,a954056ebefdc9682bef13853b75a406
114,102006__B_1__0aa716a22af847dfa97b26f92a0dd380.png,/images/products/102006__B_1__0aa716a22af847dfa97b26f92a0dd380.png,false,23,,local,,173165,,7e6a7ef177fe6ce1f0b739aa153d67c0
115,102006__B_2__b30c5d628b54456fb6925cd73b8fb33a.png,/images/products/102006__B_2__b30c5d628b54456fb6925cd73b8fb33a.png,false,23,,local,,357789,,3d0d415194c3c13d614fab54e2e71bf4
116,102006__D_100__9e72efa679394367a52c1a79f314a123.png,/images/products/102006__D_100__9e72efa679394367a52c1a79f314a123.png,false,23,,local,,236975,,beaf104e184c3c522b87b61a0182cc9a
117,102006__S_0__115d1b32a34c4f74bde800356214701c.png,/images/products/102006__S_0__115d1b32a34c4f74bde800356214701c.png,true,23,,local,,141291,,17ee02454cf67e6ef556525b7232d23a
118,102015__B_1__3e493bb52dba4937bae635515c0c4e82.png,/images/products/102015__B_1__3e493bb52dba4937bae635515c0c4e82.png,false,24,,local,,1285653,,4ef9512741560cea9b4bebca65c6ff58
